State,County,Year,Unemployment_rate
FL,"Hendry County, FL",2000,7.3
FL,"Hernando County, FL",2000,4.4
FL,"Highlands County, FL",2000,4.8
FL,"Hillsborough County, FL",2000,3.3
FL,"Holmes County, FL",2000,4.9
FL,"Indian River County, FL",2000,5.2
FL,"Jackson County, FL",2000,4.6
FL,"Jefferson County, FL",2000,3.7
FL,"Lafayette County, FL",2000,4.1
FL,"Lake County, FL",2000,3.6
FL,"Lee County, FL",2000,3.3
FL,"Leon County, FL",2000,3.1
FL,"Levy County, FL",2000,3.9
FL,"Liberty County, FL",2000,4.2
FL,"Madison County, FL",2000,4.1
FL,"Manatee County, FL",2000,3.2
FL,"Marion County, FL",2000,4.1
FL,"Martin County, FL",2000,4.2
FL,"Miami-Dade County, FL",2000,4.5
FL,"Monroe County, FL",2000,2.9
FL,"Nassau County, FL",2000,3.3
FL,"Okaloosa County, FL",2000,3.7
FL,"Okeechobee County, FL",2000,5.4
FL,"Orange County, FL",2000,3.1
FL,"Osceola County, FL",2000,3.3
FL,"Palm Beach County, FL",2000,4.3
FL,"Pasco County, FL",2000,3.7
FL,"Pinellas County, FL",2000,3.3
FL,"Polk County, FL",2000,4.2
FL,"Putnam County, FL",2000,4.3
FL,"St. Johns County, FL",2000,3.0
FL,"St. Lucie County, FL",2000,5.8
FL,"Santa Rosa County, FL",2000,3.9
FL,"Sarasota County, FL",2000,3.2
FL,"Seminole County, FL",2000,3.1
FL,"Sumter County, FL",2000,4.3
FL,"Suwannee County, FL",2000,3.6
FL,"Taylor County, FL",2000,5.0
FL,"Union County, FL",2000,4.4
FL,"Volusia County, FL",2000,3.4
FL,"Wakulla County, FL",2000,3.2
FL,"Walton County, FL",2000,3.5
FL,"Washington County, FL",2000,4.6
GA,Georgia,2000,3.5
GA,"Appling County, GA",2000,5.4
GA,"Atkinson County, GA",2000,5.3
GA,"Bacon County, GA",2000,4.5
GA,"Baker County, GA",2000,4.3
GA,"Baldwin County, GA",2000,4.8
GA,"Banks County, GA",2000,3.0
GA,"Barrow County, GA",2000,3.0
GA,"Bartow County, GA",2000,3.7
GA,"Ben Hill County, GA",2000,4.8
GA,"Berrien County, GA",2000,4.0
GA,"Bibb County, GA",2000,4.3
GA,"Bleckley County, GA",2000,4.2
GA,"Brantley County, GA",2000,4.2
GA,"Brooks County, GA",2000,4.6
GA,"Bryan County, GA",2000,3.1
GA,"Bulloch County, GA",2000,3.8
GA,"Burke County, GA",2000,5.0
GA,"Butts County, GA",2000,4.6
GA,"Calhoun County, GA",2000,6.5
GA,"Camden County, GA",2000,3.6
GA,"Candler County, GA",2000,4.6
GA,"Carroll County, GA",2000,3.7
GA,"Catoosa County, GA",2000,2.7
GA,"Charlton County, GA",2000,4.1
GA,"Chatham County, GA",2000,3.6
GA,"Chattahoochee County, GA",2000,8.1
GA,"Chattooga County, GA",2000,3.7
GA,"Cherokee County, GA",2000,2.6
GA,"Clarke County, GA",2000,3.4
GA,"Clay County, GA",2000,5.5
GA,"Clayton County, GA",2000,3.3
GA,"Clinch County, GA",2000,5.3
GA,"Cobb County, GA",2000,2.8
GA,"Coffee County, GA",2000,4.6
GA,"Colquitt County, GA",2000,4.6
GA,"Columbia County, GA",2000,2.9
GA,"Cook County, GA",2000,4.5
GA,"Coweta County, GA",2000,3.3
GA,"Crawford County, GA",2000,4.0
GA,"Crisp County, GA",2000,4.6
GA,"Dade County, GA",2000,3.0
GA,"Dawson County, GA",2000,2.7
GA,"Decatur County, GA",2000,4.5
GA,"DeKalb County, GA",2000,3.3
GA,"Dodge County, GA",2000,4.7
GA,"Dooly County, GA",2000,4.8
GA,"Dougherty County, GA",2000,5.2
GA,"Douglas County, GA",2000,2.9
GA,"Early County, GA",2000,5.0
GA,"Echols County, GA",2000,3.4
GA,"Effingham County, GA",2000,3.1
GA,"Elbert County, GA",2000,5.2
GA,"Emanuel County, GA",2000,5.6
GA,"Evans County, GA",2000,4.3
GA,"Fannin County, GA",2000,3.9
GA,"Fayette County, GA",2000,2.6
GA,"Floyd County, GA",2000,3.8
GA,"Forsyth County, GA",2000,2.4
GA,"Franklin County, GA",2000,3.9
GA,"Fulton County, GA",2000,3.4
GA,"Gilmer County, GA",2000,3.3
GA,"Glascock County, GA",2000,4.1
GA,"Glynn County, GA",2000,3.5
GA,"Gordon County, GA",2000,3.3
GA,"Grady County, GA",2000,4.4
GA,"Greene County, GA",2000,4.4
GA,"Gwinnett County, GA",2000,2.7
GA,"Habersham County, GA",2000,3.5
GA,"Hall County, GA",2000,2.9
GA,"Hancock County, GA",2000,7.8
GA,"Haralson County, GA",2000,3.5
GA,"Harris County, GA",2000,3.1
GA,"Hart County, GA",2000,4.0
GA,"Heard County, GA",2000,3.9
GA,"Henry County, GA",2000,2.7
GA,"Houston County, GA",2000,3.4
GA,"Irwin County, GA",2000,4.6
GA,"Jackson County, GA",2000,3.2
GA,"Jasper County, GA",2000,3.2
GA,"Jeff Davis County, GA",2000,4.6
GA,"Jefferson County, GA",2000,6.6
GA,"Jenkins County, GA",2000,5.2
GA,"Johnson County, GA",2000,6.0
GA,"Jones County, GA",2000,3.8
GA,"Lamar County, GA",2000,4.4
GA,"Lanier County, GA",2000,4.9
GA,"Laurens County, GA",2000,4.5
