fips,jail_pop,urbanicity,year
13123,106.57,1.0,2011
13125,,1.0,2011
13127,468.0,2.0,2011
13129,299.0,1.0,2011
13131,80.0,1.0,2011
13133,81.0,1.0,2011
13135,3080.0,3.0,2011
13137,147.0,1.0,2011
13139,1483.0,2.0,2011
13141,36.71,1.0,2011
13143,89.29,3.0,2011
13145,179.0,2.0,2011
13147,49.29,1.0,2011
13149,44.43,3.0,2011
13151,727.0,3.0,2011
13153,575.0,2.0,2011
13155,704.0,1.0,2011
13157,382.0,1.0,2011
13159,32.14,3.0,2011
13161,70.0,1.0,2011
13163,313.0,1.0,2011
13165,15.0,1.0,2011
13167,30.0,1.0,2011
13169,123.29,2.0,2011
13171,98.0,3.0,2011
13173,,2.0,2011
13175,223.57,1.0,2011
13177,77.43,2.0,2011
13179,205.71,2.0,2011
13181,58.0,2.0,2011
13183,,2.0,2011
13185,607.39,2.0,2011
13187,139.29,1.0,2011
13189,131.48,2.0,2011
13191,88.25,2.0,2011
13193,31.75,1.0,2011
13195,82.43,2.0,2011
13197,21.5,2.0,2011
13199,93.68,3.0,2011
13201,23.0,1.0,2011
13205,253.86,1.0,2011
13207,171.25,2.0,2011
13209,,1.0,2011
13211,64.57,3.0,2011
13213,112.14,2.0,2011
13215,1676.0,2.0,2011
13217,351.71,3.0,2011
13219,40.75,2.0,2011
13221,,2.0,2011
13223,311.0,3.0,2011
13225,60.0,2.0,2011
13227,77.14,3.0,2011
13229,63.25,1.0,2011
13231,27.75,3.0,2011
13233,173.43,1.0,2011
13235,26.71,2.0,2011
13237,107.0,1.0,2011
13239,5.44,1.0,2011
13241,71.5,1.0,2011
13243,17.64,1.0,2011
13245,1149.0,2.0,2011
13247,335.0,3.0,2011
13249,8.0,1.0,2011
13251,56.0,1.0,2011
13253,46.71,1.0,2011
13255,836.0,3.0,2011
13257,120.0,1.0,2011
13259,92.0,1.0,2011
13261,486.74,1.0,2011
13263,8.0,1.0,2011
13265,5.25,1.0,2011
13267,84.71,1.0,2011
13269,39.5,1.0,2011
13271,24.25,1.0,2011
13273,30.71,2.0,2011
13275,395.0,1.0,2011
13277,189.71,1.0,2011
13279,87.57,1.0,2011
13281,35.71,1.0,2011
13283,20.86,1.0,2011
13285,772.0,1.0,2011
13287,51.29,1.0,2011
13289,,2.0,2011
13291,60.25,1.0,2011
13293,175.0,1.0,2011
13295,198.71,2.0,2011
13297,377.43,3.0,2011
13299,324.75,1.0,2011
13301,33.52,1.0,2011
13303,77.0,1.0,2011
13305,162.0,1.0,2011
13307,40.26,1.0,2011
13309,15.0,1.0,2011
13311,86.25,1.0,2011
13313,448.0,2.0,2011
13315,24.25,1.0,2011
13317,30.61,1.0,2011
13319,25.43,1.0,2011
13321,41.29,2.0,2011
15001,,1.0,2011
15003,,2.0,2011
15005,,2.0,2011
15007,,1.0,2011
15009,,2.0,2011
16001,951.68,2.0,2011
16003,24.57,1.0,2011
16005,248.47,2.0,2011
16007,3.0,1.0,2011
16009,12.86,1.0,2011
16011,102.29,1.0,2011
16013,39.71,1.0,2011
16015,16.32,2.0,2011
16017,85.0,1.0,2011
16019,260.0,2.0,2011
16021,24.29,1.0,2011
16023,4.8,2.0,2011
16025,,1.0,2011
16027,467.0,2.0,2011
16029,37.0,1.0,2011
16031,73.7,1.0,2011
16033,3.0,1.0,2011
16035,22.29,1.0,2011
16037,4.0,1.0,2011
16039,76.5,1.0,2011
16041,7.0,2.0,2011
16043,10.71,1.0,2011
16045,35.0,2.0,2011
16047,33.25,1.0,2011
16049,13.71,1.0,2011
16051,36.86,2.0,2011
16053,46.75,1.0,2011
16055,308.14,2.0,2011
16057,33.75,1.0,2011
16059,9.71,1.0,2011
16061,10.0,1.0,2011
16063,,1.0,2011
16065,68.75,1.0,2011
16067,66.3,1.0,2011
16069,100.75,2.0,2011
16071,11.39,1.0,2011
16073,36.25,2.0,2011
16075,62.75,1.0,2011
16077,24.29,1.0,2011
16079,38.71,1.0,2011
16081,17.39,1.0,2011
16083,179.0,1.0,2011
16085,28.25,1.0,2011
16087,28.0,1.0,2011
17001,85.0,1.0,2011
17003,47.84,2.0,2011
17005,23.25,3.0,2011
17007,93.57,2.0,2011
17009,,1.0,2011
17011,20.14,1.0,2011
17013,4.51,3.0,2011
17015,16.75,1.0,2011
17017,,1.0,2011
17019,232.29,2.0,2011
17021,48.57,1.0,2011
17023,20.57,1.0,2011
17025,7.5,1.0,2011
17027,59.71,3.0,2011
17029,110.71,1.0,2011
17031,9576.0,4.0,2011
17033,36.71,1.0,2011
17035,9.28,1.0,2011
17037,121.43,3.0,2011
17039,70.71,2.0,2011
17041,19.43,1.0,2011
17043,756.0,3.0,2011
17045,30.29,1.0,2011
17047,12.57,1.0,2011
17049,57.0,1.0,2011
17051,39.29,1.0,2011
17053,35.0,2.0,2011
17055,84.71,1.0,2011
17057,72.29,1.0,2011
17059,10.25,1.0,2011
17061,8.0,1.0,2011
17063,50.0,3.0,2011
17065,15.44,1.0,2011
17067,18.14,1.0,2011
17069,4.14,1.0,2011
17071,7.0,1.0,2011
17073,103.0,2.0,2011
17075,20.43,1.0,2011
17077,141.43,2.0,2011
17079,8.57,1.0,2011
17081,180.0,1.0,2011
17083,21.63,3.0,2011
17085,17.86,1.0,2011
17087,29.42,1.0,2011
17089,635.0,3.0,2011
17091,643.0,2.0,2011
17093,98.86,3.0,2011
17095,117.43,1.0,2011
17097,623.71,3.0,2011
17099,176.0,1.0,2011
17101,26.71,1.0,2011
17103,47.14,1.0,2011
17105,98.25,1.0,2011
17107,38.86,1.0,2011
17109,38.0,1.0,2011
17111,541.0,3.0,2011
17113,221.0,2.0,2011
17115,318.57,2.0,2011
17117,48.57,3.0,2011
17119,272.86,3.0,2011
17121,90.0,1.0,2011
17123,8.14,2.0,2011
17125,45.0,1.0,2011
17127,38.25,1.0,2011
17129,17.0,2.0,2011
17131,60.29,2.0,2011
17133,12.0,3.0,2011
17135,33.43,1.0,2011
17137,33.71,1.0,2011
17139,25.14,1.0,2011
17141,94.0,1.0,2011
17143,501.86,2.0,2011
17145,50.0,1.0,2011
17147,37.57,2.0,2011
17149,43.0,1.0,2011
17151,11.6,1.0,2011
17153,35.22,1.0,2011
17155,2.29,1.0,2011
17157,17.43,1.0,2011
17159,26.0,1.0,2011
17161,247.57,2.0,2011
17163,416.0,3.0,2011
17165,53.58,1.0,2011
17167,345.71,2.0,2011
17169,13.57,1.0,2011
17171,,1.0,2011
17173,17.71,1.0,2011
17175,5.71,2.0,2011
17177,119.29,1.0,2011
17179,156.67,2.0,2011
17181,106.22,1.0,2011
17183,231.0,2.0,2011
17185,15.0,1.0,2011
17187,19.71,1.0,2011
17189,19.14,1.0,2011
17191,13.29,1.0,2011
17193,26.74,1.0,2011
17195,101.43,1.0,2011
17197,697.0,3.0,2011
17199,107.0,2.0,2011
17201,923.0,2.0,2011
17203,36.0,2.0,2011
18001,62.71,1.0,2011
18003,896.0,2.0,2011
18005,160.0,2.0,2011
18007,21.5,2.0,2011
18009,62.29,1.0,2011
18011,135.71,3.0,2011
18013,36.57,3.0,2011
18015,48.0,2.0,2011
18017,154.5,1.0,2011
18019,417.0,3.0,2011
18021,79.57,2.0,2011
18023,132.29,1.0,2011
18025,54.14,1.0,2011
18027,199.0,1.0,2011
18029,244.0,3.0,2011
18031,69.0,1.0,2011
18033,69.29,1.0,2011
18035,291.0,2.0,2011
18037,63.43,1.0,2011
18039,824.0,2.0,2011
18041,111.86,1.0,2011
18043,286.0,3.0,2011
18045,21.25,1.0,2011
18047,58.5,1.0,2011
18049,78.57,1.0,2011
18051,103.43,1.0,2011
18053,238.0,1.0,2011
18055,74.0,1.0,2011
18057,280.86,3.0,2011
18059,231.0,3.0,2011
18061,165.14,3.0,2011
18063,226.75,3.0,2011
18065,153.71,1.0,2011
18067,284.0,2.0,2011
18069,95.0,1.0,2011
18071,212.14,1.0,2011
18073,60.29,3.0,2011
18075,74.71,1.0,2011
18077,102.57,1.0,2011
18079,120.57,1.0,2011
18081,289.0,3.0,2011
18083,156.43,1.0,2011
18085,230.0,1.0,2011
18087,102.29,1.0,2011
18089,941.0,3.0,2011
18091,355.57,2.0,2011
18093,138.0,1.0,2011
18095,249.29,3.0,2011
18097,2345.0,4.0,2011
18099,90.0,1.0,2011
18101,50.29,1.0,2011
18103,109.57,1.0,2011
18105,247.43,2.0,2011
18107,185.5,1.0,2011
18109,286.0,3.0,2011
18111,55.57,3.0,2011
18113,169.0,1.0,2011
18115,8.69,3.0,2011
18117,44.14,1.0,2011
18119,58.29,2.0,2011
18121,64.57,1.0,2011
18123,35.0,1.0,2011
18125,45.0,1.0,2011
18127,483.0,3.0,2011
18129,56.29,2.0,2011
18131,68.14,1.0,2011
18133,135.0,3.0,2011
18135,72.5,1.0,2011
18137,75.86,1.0,2011
18139,44.0,1.0,2011
18141,600.0,2.0,2011
18143,99.5,3.0,2011
18145,175.43,3.0,2011
18147,49.86,1.0,2011
18149,75.71,1.0,2011
18151,122.75,1.0,2011
18153,61.29,2.0,2011
18155,14.87,1.0,2011
18157,387.14,2.0,2011
18159,31.5,1.0,2011
18161,19.0,3.0,2011
18163,696.0,2.0,2011
18165,70.25,2.0,2011
18167,254.67,2.0,2011
18169,90.71,1.0,2011
18171,27.0,1.0,2011
18173,79.75,2.0,2011
18175,75.0,3.0,2011
18177,300.0,1.0,2011
18179,94.0,2.0,2011
18181,100.86,1.0,2011
18183,122.29,2.0,2011
19001,3.29,1.0,2011
19003,14.43,1.0,2011
19005,6.0,1.0,2011
19007,19.57,1.0,2011
19009,2.0,1.0,2011
19011,14.29,2.0,2011
19013,256.43,2.0,2011
19015,,1.0,2011
19017,24.25,2.0,2011
19019,20.75,1.0,2011
19021,23.14,1.0,2011
19023,10.5,1.0,2011
19025,1.72,1.0,2011
19027,8.71,1.0,2011
19029,15.25,1.0,2011
19031,24.14,1.0,2011
19033,68.29,1.0,2011
19035,9.14,1.0,2011
19037,4.57,1.0,2011
19039,19.29,1.0,2011
19041,16.0,1.0,2011
19043,12.5,1.0,2011
19045,47.86,1.0,2011
19047,10.25,1.0,2011
19049,23.43,2.0,2011
19051,7.0,1.0,2011
19053,2.5,1.0,2011
19055,6.57,1.0,2011
19057,53.75,1.0,2011
19059,13.0,1.0,2011
19061,108.86,2.0,2011
19063,3.71,1.0,2011
19065,33.14,1.0,2011
19067,7.71,1.0,2011
19069,,1.0,2011
19071,4.86,1.0,2011
19073,6.14,1.0,2011
19075,4.76,2.0,2011
19077,8.43,2.0,2011
19079,,1.0,2011
19081,6.29,1.0,2011
19083,86.0,1.0,2011
19085,8.86,2.0,2011
19087,14.0,1.0,2011
19089,3.57,1.0,2011
19091,4.0,1.0,2011
19093,6.71,1.0,2011
19095,19.14,1.0,2011
19097,7.71,1.0,2011
19099,34.71,1.0,2011
19101,13.57,1.0,2011
19103,89.0,2.0,2011
19105,14.0,2.0,2011
19107,3.25,1.0,2011
19109,12.71,1.0,2011
19111,53.0,1.0,2011
19113,355.0,2.0,2011
19115,13.0,1.0,2011
19117,1.0,1.0,2011
19119,11.75,1.0,2011
19121,8.29,2.0,2011
19123,21.5,1.0,2011
19125,29.71,1.0,2011
19127,123.0,1.0,2011
19129,9.43,2.0,2011
19131,7.0,1.0,2011
19133,10.29,1.0,2011
19135,7.14,1.0,2011
19137,5.14,1.0,2011
19139,146.0,1.0,2011
19141,35.14,1.0,2011
19143,3.25,1.0,2011
19145,9.0,1.0,2011
19147,4.71,1.0,2011
19149,30.57,2.0,2011
19151,3.86,1.0,2011
19153,929.0,2.0,2011
19155,216.5,2.0,2011
19157,18.14,1.0,2011
19159,11.25,1.0,2011
19161,1.71,1.0,2011
19163,303.5,2.0,2011
19165,8.86,1.0,2011
19167,34.25,1.0,2011
19169,79.14,2.0,2011
19171,16.0,1.0,2011
19173,4.29,1.0,2011
19175,9.25,1.0,2011
19177,4.14,1.0,2011
19179,59.0,1.0,2011
19181,21.43,2.0,2011
19183,27.71,2.0,2011
19185,16.86,1.0,2011
19187,45.86,1.0,2011
19189,5.29,1.0,2011
19191,9.57,1.0,2011
19193,226.0,2.0,2011
19195,4.5,1.0,2011
19197,11.0,1.0,2011
20001,50.0,1.0,2011
20003,26.29,1.0,2011
20005,64.0,1.0,2011
20007,3.71,1.0,2011
20009,82.75,1.0,2011
20011,43.86,1.0,2011
20013,23.14,1.0,2011
20015,188.0,2.0,2011
20017,99.71,1.0,2011
20019,8.71,1.0,2011
20021,71.14,1.0,2011
20023,,1.0,2011
20025,1.75,1.0,2011
20027,12.14,1.0,2011
20029,24.43,1.0,2011
20031,9.86,1.0,2011
20033,,1.0,2011
20035,91.5,1.0,2011
20037,80.0,1.0,2011
20039,4.43,1.0,2011
20041,26.29,1.0,2011
20043,13.86,2.0,2011
20045,149.0,2.0,2011
20047,4.25,1.0,2011
20049,4.0,1.0,2011
20051,52.71,1.0,2011
20053,12.86,1.0,2011
20055,104.0,1.0,2011
20057,114.71,1.0,2011
20059,50.86,1.0,2011
20061,102.57,1.0,2011
20063,4.48,1.0,2011
20065,8.43,1.0,2011
20067,27.29,1.0,2011
20069,18.96,1.0,2011
20071,,1.0,2011
20073,20.0,1.0,2011
20075,6.57,1.0,2011
20077,18.29,1.0,2011
20079,106.86,2.0,2011
20081,5.57,1.0,2011
20083,2.71,1.0,2011
20085,66.71,2.0,2011
20087,30.75,2.0,2011
20089,3.43,1.0,2011
20091,765.0,3.0,2011
20093,6.0,1.0,2011
20095,12.0,2.0,2011
20097,19.43,1.0,2011
20099,66.0,1.0,2011
20101,1.71,1.0,2011
20103,867.0,3.0,2011
20105,6.29,1.0,2011
20107,19.0,3.0,2011
20109,1.0,1.0,2011
20111,127.57,1.0,2011
20113,26.43,1.0,2011
20115,7.71,1.0,2011
20117,19.0,1.0,2011
20119,13.61,1.0,2011
20121,35.0,3.0,2011
20123,26.0,1.0,2011
20125,133.57,1.0,2011
20127,5.43,1.0,2011
20129,6.57,1.0,2011
20131,11.43,1.0,2011
20133,44.29,1.0,2011
20135,3.0,1.0,2011
20137,2.71,1.0,2011
20139,19.29,2.0,2011
20141,5.86,1.0,2011
20143,32.0,1.0,2011
20145,9.0,1.0,2011
20147,4.0,1.0,2011
20149,18.14,2.0,2011
20151,22.43,1.0,2011
20153,5.14,1.0,2011
20155,116.14,1.0,2011
20157,3.71,1.0,2011
20159,55.0,1.0,2011
20161,70.57,2.0,2011
20163,6.71,1.0,2011
20165,,1.0,2011
20167,15.0,1.0,2011
20169,217.0,1.0,2011
20171,9.39,1.0,2011
20173,1233.0,2.0,2011
20175,76.29,1.0,2011
20177,504.14,2.0,2011
20179,1.25,1.0,2011
20181,16.29,1.0,2011
20183,3.71,1.0,2011
20185,,1.0,2011
20187,10.43,1.0,2011
20189,7.71,1.0,2011
20191,117.86,2.0,2011
20193,15.71,1.0,2011
20195,5.23,1.0,2011
20197,6.14,2.0,2011
20199,2.95,1.0,2011
20201,6.4,1.0,2011
20203,4.32,1.0,2011
20205,49.29,1.0,2011
20207,2.29,1.0,2011
20209,286.0,3.0,2011
21001,58.6,1.0,2011
21003,67.0,2.0,2011
21005,66.81,1.0,2011
21007,42.0,1.0,2011
21009,124.09,1.0,2011
21011,52.54,1.0,2011
21013,71.75,1.0,2011
21015,437.09,3.0,2011
21017,43.82,2.0,2011
